item_id,movie,intensity
# Default template: edit movie/intensity as needed. intensity must be 'low' or 'high'.
# Sensory items assumed 1..134. This template splits 1-67 -> low, 68-134 -> high.
1,,low
2,,low
3,,low
4,,low
5,,low
6,,low
7,,low
8,,low
9,,low
10,,low
11,,low
12,,low
13,,low
14,,low
15,,low
16,,low
17,,low
18,,low
19,,low
20,,low
21,,low
22,,low
23,,low
24,,low
25,,low
26,,low
27,,low
28,,low
29,,low
30,,low
31,,low
32,,low
33,,low
34,,low
35,,low
36,,low
37,,low
38,,low
39,,low
40,,low
41,,low
42,,low
43,,low
44,,low
45,,low
46,,low
47,,low
48,,low
49,,low
50,,low
51,,low
52,,low
53,,low
54,,low
55,,low
56,,low
57,,low
58,,low
59,,low
60,,low
61,,low
62,,low
63,,low
64,,low
65,,low
66,,low
67,,low
68,,high
69,,high
70,,high
71,,high
72,,high
73,,high
74,,high
75,,high
76,,high
77,,high
78,,high
79,,high
80,,high
81,,high
82,,high
83,,high
84,,high
85,,high
86,,high
87,,high
88,,high
89,,high
90,,high
91,,high
92,,high
93,,high
94,,high
95,,high
96,,high
97,,high
98,,high
99,,high
100,,high
101,,high
102,,high
103,,high
104,,high
105,,high
106,,high
107,,high
108,,high
109,,high
110,,high
111,,high
112,,high
113,,high
114,,high
115,,high
116,,high
117,,high
118,,high
119,,high
120,,high
121,,high
122,,high
123,,high
124,,high
125,,high
126,,high
127,,high
128,,high
129,,high
130,,high
131,,high
132,,high
133,,high
134,,high
